ID,中心字,组词
A001,问,问号/设问/反问/学问
A002,心,心情/小心/关心/中心
A003,手,手机/手段/动手/高手
A004,气,天气/生气/客气/人气
A005,道,知道/道理/道路/说道
A006,面,方面/面对/全面/外面
A007,点,地点/点心/缺点/重点
A008,水,水平/水果/开水/下水
A009,火,火车/火锅/发火/灯火
A010,头,头发/开头/回头/尽头
A011,风,风景/作风/风雨/风格
A012,光,光明/阳光/灯光/眼光
A013,电,电话/电视/电影/电脑
A014,车,公车/火车/车门/汽车
A015,花,花草/花钱/花园/开花
A016,书,书本/书包/书店/图书
A017,音,音乐/声音/音信/收音
A018,人,人民/工人/大人/好人/人才
A019,天,天空/天气/白天/明天/今天
A020,地,地方/土地/地球/大地/地铁
A021,日,日子/日记/生日/节日/日出
A022,月,月亮/月光/正月/岁月/月底
A023,山,山水/高山/山头/上山/山林
A024,口,口袋/入口/出口/人口/口气
A025,门,门口/大门/车门/出门/门卫
A026,目,目标/目的/目前/题目/目光
A027,马,马上/马路/马车/骑马/马力
